장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
3,2,30201050000,입찰,,,,,,,제3장 구매 2절 1조 5항,
3,2,30201040100,입찰시행,팀장,,,,,,제3장 구매 2절 1조 4항 1호,
3,2,30201040200,예정가격 결정,본부장,,,,,,제3장 구매 2절 1조 4항 2호,
3,2,30201060000,설계변경 사항 승인,,,,,,,제3장 구매 2절 1조 6항,
3,2,30201060001,1억원 초과,CEO,,,,담당,,제3장 구매 2절 1조 6항 1목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201060002,1억원 이하,본부장,,,,담당,,제3장 구매 2절 1조 6항 2목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201070000,계약관련 지출,,,,,,계약관련 지출은 제4장 재무 3절 지출 전체 참조,제3장 구매 2절 1조 7항,자금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행
3,2,30202000000,전문 용역 계약,,,,,,,제3장 구매 2절 2조,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202000001,1억원 초과,CEO,,,,,,제3장 구매 2절 2조 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202000002,1억원 이하,본부장,,,,,,제3장 구매 2절 2조 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202010000,컨설팅 및 전문 용역 계약,,,,,,,제3장 구매 2절 2조 1항,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202010001,1억원 초과,CEO,,,,,,제3장 구매 2절 2조 1항 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202010002,1억원 이하,본부장,,,,,,제3장 구매 2절 2조 1항 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202020000,회계 용역 계약,,,,,,,제3장 구매 2절 2조 2항,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202020001,회계 용역 계약 - 1억원 초과,CEO,,,,,,제3장 구매 2절 2조 2항 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202020002,회계 용역 계약 - 1억원 이하,본부장,,,,,,제3장 구매 2절 2조 2항 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202030000,세무사에 의한 세무조정 용역,,,,,,,제3장 구매 2절 2조 3항,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202030001,세무사에 의한 세무조정 용역 - 1억원 초과,CEO,,,,,,제3장 구매 2절 2조 3항 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202030002,세무사에 의한 세무조정 용역 - 1억원 이하,본부장,,,,,,제3장 구매 2절 2조 3항 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202040000,인사·노무 컨설팅 용역,,,,,,,제3장 구매 2절 2조 4항,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202040001,인사·노무 컨설팅 용역 - 1억원 초과,CEO,,,,,,제3장 구매 2절 2조 4항 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202040002,인사·노무 컨설팅 용역 - 1억원 이하,본부장,,,,,,제3장 구매 2절 2조 4항 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202050000,"정보시스템 관련 기술계약, 유지보수, 임차계약 - 1억원 초과",,,,,,,제3장 구매 2절 2조 5항,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202050001,"정보시스템 관련 기술계약, 유지보수, 임차계약 - 1억원 초과",CEO,,,,,,제3장 구매 2절 2조 5항 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202050002,"정보시스템 관련 기술계약, 유지보수, 임차계약 - 1억원 이하",본부장,,,,,,제3장 구매 2절 2조 5항 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30202050003,"정보시스템 관련 기술계약, 유지보수, 임차계약 - 3백만원 이하",팀장,,,,,,제3장 구매 2절 2조 5항 3목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30203000000,각종 업무 대행 및 기타 용역 계약,,,,,,,제3장 구매 2절 3조,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30203000001,각종 업무 대행 및 기타 용역 계약 - 1억원 초과,CEO,,,,,,제3장 구매 2절 3조 1목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30203000002,각종 업무 대행 및 기타 용역 계약 - 1억원 이하,본부장,,,,,,제3장 구매 2절 3조 2목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30203000003,각종 업무 대행 및 기타 용역 계약 - 3백만원 이하,팀장,,,,,,제3장 구매 2절 3조 3목,"공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
